iter	Logloss
0	0.655320597
1	0.616277862
2	0.5902230781
3	0.5634598314
4	0.5344953035
5	0.514198794
6	0.4950867592
7	0.4760995608
8	0.4639884993
9	0.4513892012
10	0.4411880761
11	0.4294906973
12	0.4246620044
13	0.4207543267
14	0.4165312115
15	0.4105050606
16	0.4074127911
17	0.4054031818
18	0.4016604953
19	0.3991895531
20	0.3971103869
21	0.3944999293
22	0.3920984993
23	0.3861739845
24	0.38478249
25	0.3813438639
26	0.3796550907
27	0.3773421795
28	0.3764210305
29	0.3752601133
30	0.3730083265
31	0.3692295231
32	0.3646210341
33	0.3629630462
34	0.3619585985
35	0.359630027
36	0.3587265015
37	0.3579252589
38	0.3566969041
39	0.3555708768
40	0.3531159964
41	0.3527170817
42	0.351206417
43	0.3476274725
44	0.3473210474
45	0.3466141238
46	0.3460244519
47	0.3436942296
48	0.3421513295
49	0.3415574637
50	0.3407487925
51	0.3400055735
52	0.3384390491
53	0.337072339
54	0.3359105071
55	0.334670329
56	0.333334828
57	0.3327694497
58	0.3315541451
59	0.3309326618
60	0.3286195275
61	0.3278571235
62	0.3261043705
63	0.3252178884
64	0.3233273824
65	0.3222225256
66	0.3210421557
67	0.3205327709
68	0.3199037697
69	0.3190586023
70	0.3181510836
71	0.3165830423
72	0.3165295919
73	0.315936083
74	0.3153834204
75	0.3145407069
76	0.3135806078
77	0.3117685151
78	0.3103970979
79	0.3092376084
80	0.3082676045
81	0.3068260059
82	0.3064911603
83	0.3056925723
84	0.3044541342
85	0.3036555686
86	0.3027995372
87	0.3025569804
88	0.301817643
89	0.3009643109
90	0.2998408267
91	0.2983663235
92	0.2972266214
93	0.2960284495
94	0.294793023
95	0.2940152709
96	0.2936577602
97	0.2927924708
98	0.2918644955
99	0.290725708
100	0.2896757962
101	0.2887175264
102	0.2882808663
103	0.2869484439
104	0.2859180294
105	0.2850209063
106	0.2846663179
107	0.2839417932
108	0.2833622269
109	0.2818776404
110	0.2810920135
111	0.2807084691
112	0.2802018729
113	0.2791498195
114	0.2787600066
115	0.2786718893
116	0.2776707432
117	0.2767621314
118	0.2759719536
119	0.2753963359
120	0.2743214836
121	0.2733517474
122	0.2727181284
123	0.2716733921
124	0.2711410299
125	0.2705992314
126	0.2698154115
127	0.2690598783
128	0.2681821634
129	0.2680355764
130	0.2676029763
131	0.2661580314
132	0.265031915
133	0.2641608924
134	0.2636775413
135	0.2633466442
136	0.2621861954
137	0.2616579379
138	0.2610250997
139	0.2603173507
140	0.2595220644
141	0.258750157
142	0.2581678022
143	0.2579205608
144	0.2576787848
145	0.2572092871
146	0.2560615316
147	0.2552243506
148	0.2545587194
149	0.2539056254
150	0.2537250184
151	0.2528204444
152	0.2519066348
153	0.2515467147
154	0.2512529607
155	0.2509461565
156	0.2498098451
157	0.2489271554
158	0.2482448823
159	0.2469850284
160	0.2467165941
161	0.2465624893
162	0.2456839043
163	0.2454672473
164	0.2446724741
165	0.2438541212
166	0.2437594676
167	0.2435231794
168	0.2423575775
169	0.2414826064
170	0.2407152276
171	0.240648727
172	0.2396390145
173	0.2387633073
174	0.2378210324
175	0.237533614
176	0.2370403803
177	0.2367519356
178	0.236652575
179	0.2362763924
180	0.2349464015
181	0.2346505951
182	0.2338310152
183	0.2337836104
184	0.2334997835
185	0.2328547428
186	0.2324990167
187	0.232277965
188	0.2318501612
189	0.2317007857
190	0.2316467553
191	0.230507767
192	0.2293135437
193	0.2286927519
194	0.2286430939
195	0.2277686136
196	0.2270947507
197	0.2269207692
198	0.2256747686
199	0.2255897076
